epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2858.88,1.30433,1.51898,1.62492,0.66941,0.43698,0.48134,0.28916,1.32919,1.39507,1.66445,0.000240859,0.000240859,0.000240859
66,2897.91,1.29034,1.5098,1.60758,0.67601,0.43015,0.48258,0.29097,1.35076,1.39166,1.69256,0.000238107,0.000238107,0.000238107
67,2938.49,1.29296,1.52124,1.62057,0.70669,0.40504,0.45883,0.28348,1.34524,1.38367,1.68831,0.000235355,0.000235355,0.000235355
68,2982.08,1.28026,1.47624,1.59877,0.71999,0.40244,0.46494,0.28746,1.3376,1.38881,1.66557,0.000232603,0.000232603,0.000232603
69,3023.63,1.27993,1.47181,1.58992,0.7498,0.41134,0.48358,0.29828,1.32771,1.35802,1.66629,0.00022985,0.00022985,0.00022985
70,3063.84,1.28406,1.47292,1.59951,0.74499,0.42478,0.46769,0.29446,1.33511,1.36776,1.66418,0.000227098,0.000227098,0.000227098
71,3109.98,1.28122,1.47714,1.59688,0.69373,0.43006,0.46771,0.29117,1.33199,1.36362,1.65589,0.000224346,0.000224346,0.000224346
72,3150.65,1.26813,1.48263,1.59199,0.69892,0.45828,0.48203,0.3045,1.3145,1.35253,1.64104,0.000221594,0.000221594,0.000221594
73,3194.22,1.27452,1.47443,1.59055,0.71097,0.4627,0.48697,0.29978,1.32749,1.36087,1.65073,0.000218842,0.000218842,0.000218842
74,3236.2,1.25869,1.46103,1.58734,0.74949,0.41209,0.4914,0.29841,1.33114,1.34308,1.66007,0.000216089,0.000216089,0.000216089
75,3274.37,1.27306,1.47332,1.59407,0.715,0.46382,0.49735,0.30517,1.3119,1.3334,1.63927,0.000213337,0.000213337,0.000213337
76,3317.62,1.25803,1.44111,1.58032,0.74329,0.43633,0.48188,0.29195,1.33278,1.35651,1.66856,0.000210585,0.000210585,0.000210585
77,3359.9,1.24588,1.44082,1.57377,0.69807,0.45731,0.49392,0.29482,1.33569,1.32809,1.67553,0.000207833,0.000207833,0.000207833
78,3397.71,1.26701,1.44698,1.57774,0.61005,0.49903,0.49695,0.3111,1.32974,1.35125,1.6576,0.000205081,0.000205081,0.000205081
79,3444.63,1.23777,1.42548,1.56248,0.76631,0.45036,0.49801,0.30084,1.331,1.32722,1.65972,0.000202328,0.000202328,0.000202328
80,3487.89,1.24055,1.40125,1.56205,0.76002,0.46276,0.49758,0.30862,1.31597,1.34482,1.65564,0.000199576,0.000199576,0.000199576
81,3529.56,1.23648,1.40363,1.56045,0.73189,0.46444,0.50292,0.30844,1.30958,1.31079,1.64849,0.000196824,0.000196824,0.000196824
82,3568.58,1.2383,1.40923,1.56009,0.74911,0.47097,0.49877,0.30553,1.33536,1.33196,1.66996,0.000194072,0.000194072,0.000194072
83,3611.8,1.23497,1.4045,1.55879,0.66597,0.46926,0.50953,0.30973,1.31712,1.32507,1.64848,0.00019132,0.00019132,0.00019132
84,3653.87,1.23045,1.40299,1.5463,0.69069,0.46567,0.48722,0.30456,1.31324,1.32608,1.64332,0.000188567,0.000188567,0.000188567
85,3691.78,1.22299,1.40265,1.55004,0.65766,0.45162,0.48014,0.29562,1.30363,1.32169,1.63459,0.000185815,0.000185815,0.000185815
86,3739.74,1.22152,1.38907,1.54772,0.70871,0.44163,0.49242,0.30459,1.30816,1.30105,1.64585,0.000183063,0.000183063,0.000183063
87,3781.98,1.22533,1.37489,1.53823,0.64329,0.45279,0.49524,0.304,1.30345,1.31137,1.6371,0.000180311,0.000180311,0.000180311
88,3820.33,1.21658,1.37207,1.54083,0.73083,0.42839,0.49936,0.31504,1.29456,1.3029,1.6175,0.000177559,0.000177559,0.000177559
89,3863.72,1.21611,1.3748,1.53431,0.61531,0.4717,0.49217,0.30379,1.30811,1.31261,1.63098,0.000174806,0.000174806,0.000174806
90,3906.33,1.20672,1.37216,1.53318,0.63512,0.47594,0.48015,0.30234,1.29349,1.30718,1.6239,0.000172054,0.000172054,0.000172054
91,3944.97,1.21201,1.38219,1.53446,0.69655,0.47227,0.50489,0.32009,1.27071,1.28698,1.59896,0.000169302,0.000169302,0.000169302
92,3988.78,1.21002,1.36639,1.53667,0.71798,0.45513,0.50247,0.31265,1.28421,1.28041,1.61286,0.00016655,0.00016655,0.00016655
93,4035.09,1.20067,1.38522,1.53283,0.63354,0.48829,0.51466,0.32532,1.28852,1.29497,1.61636,0.000163798,0.000163798,0.000163798
94,4076.02,1.19867,1.34964,1.52703,0.69358,0.47343,0.49273,0.30812,1.29899,1.31992,1.6165,0.000161045,0.000161045,0.000161045
95,4119.77,1.19892,1.35045,1.52371,0.66824,0.48574,0.51798,0.33088,1.29138,1.28219,1.61265,0.000158293,0.000158293,0.000158293
96,4160.79,1.18783,1.34671,1.51636,0.73283,0.47216,0.51928,0.32212,1.29345,1.27832,1.61728,0.000155541,0.000155541,0.000155541
97,4201.37,1.1963,1.3485,1.5259,0.675,0.45621,0.49963,0.31849,1.28246,1.28767,1.60885,0.000152789,0.000152789,0.000152789
98,4244.19,1.20637,1.34072,1.51959,0.75843,0.43815,0.5104,0.31777,1.26757,1.27104,1.60023,0.000150037,0.000150037,0.000150037
99,4285.36,1.19039,1.33863,1.5156,0.77712,0.41518,0.48822,0.31539,1.28783,1.27533,1.61541,0.000147284,0.000147284,0.000147284
100,4328.93,1.19059,1.32874,1.51358,0.69424,0.47594,0.51052,0.3191,1.28409,1.26682,1.61627,0.000144532,0.000144532,0.000144532
101,4372.27,1.18624,1.3161,1.50443,0.73837,0.46537,0.51937,0.32531,1.2766,1.2662,1.60258,0.00014178,0.00014178,0.00014178
102,4415.79,1.18596,1.32531,1.51125,0.70646,0.46571,0.51337,0.31955,1.26734,1.26757,1.60172,0.000139028,0.000139028,0.000139028
103,4454.49,1.17308,1.29787,1.49296,0.69432,0.45186,0.49971,0.31576,1.27201,1.26491,1.5988,0.000136276,0.000136276,0.000136276
104,4495.44,1.1912,1.31846,1.50906,0.67791,0.46057,0.5082,0.32226,1.27098,1.26584,1.59414,0.000133523,0.000133523,0.000133523
105,4539.57,1.16412,1.3136,1.50544,0.74546,0.45211,0.49952,0.3164,1.28005,1.26832,1.60674,0.000130771,0.000130771,0.000130771
106,4579.19,1.17242,1.2968,1.49375,0.71291,0.46546,0.50215,0.31672,1.29401,1.26655,1.61271,0.000128019,0.000128019,0.000128019
