epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,11422.3,0.76294,0.59634,1.182,0.85277,0.86774,0.89558,0.71592,0.81438,0.56347,1.20131,0.0038125,0.0038125,0.0038125
77,11579.8,0.75728,0.59226,1.17708,0.85046,0.86992,0.89598,0.71617,0.81462,0.56229,1.202,0.00373,0.00373,0.00373
78,11738.1,0.75994,0.58462,1.17731,0.8522,0.86946,0.89614,0.7167,0.81455,0.56117,1.20199,0.0036475,0.0036475,0.0036475
79,11896.7,0.75695,0.58713,1.17432,0.8532,0.87054,0.89672,0.71688,0.81474,0.56153,1.20206,0.003565,0.003565,0.003565
80,12053.2,0.74938,0.58318,1.17392,0.85431,0.87036,0.89677,0.71694,0.81492,0.5617,1.20201,0.0034825,0.0034825,0.0034825
81,12210.9,0.7486,0.57602,1.16941,0.85438,0.86945,0.89629,0.71663,0.8151,0.562,1.20195,0.0034,0.0034,0.0034
82,12366.5,0.74968,0.57664,1.16912,0.85733,0.86847,0.89683,0.71629,0.81564,0.5617,1.20214,0.0033175,0.0033175,0.0033175
83,12523.5,0.74855,0.57744,1.17058,0.85894,0.86662,0.89705,0.71645,0.81546,0.56082,1.20197,0.003235,0.003235,0.003235
84,12680.5,0.74201,0.56635,1.1664,0.85987,0.86567,0.89619,0.71647,0.81514,0.56067,1.20136,0.0031525,0.0031525,0.0031525
85,12837.3,0.73901,0.56661,1.16401,0.85955,0.86468,0.89662,0.71706,0.81498,0.56024,1.20097,0.00307,0.00307,0.00307
86,12995.7,0.73542,0.56006,1.16133,0.86042,0.86538,0.89646,0.71728,0.81464,0.55941,1.20066,0.0029875,0.0029875,0.0029875
87,13152.2,0.73283,0.55831,1.15936,0.85818,0.86631,0.89661,0.7176,0.81438,0.559,1.20044,0.002905,0.002905,0.002905
88,13311.5,0.73054,0.56207,1.16002,0.85922,0.86601,0.89673,0.71778,0.81448,0.55857,1.20063,0.0028225,0.0028225,0.0028225
89,13469.9,0.73986,0.55649,1.16626,0.85834,0.86804,0.89664,0.71829,0.81444,0.55777,1.20064,0.00274,0.00274,0.00274
90,13628.6,0.72808,0.55483,1.15439,0.86108,0.86573,0.89702,0.71793,0.81502,0.55753,1.20085,0.0026575,0.0026575,0.0026575
91,13787.4,0.72265,0.54636,1.15041,0.86215,0.86594,0.89863,0.7184,0.81486,0.55735,1.20073,0.002575,0.002575,0.002575
92,13945.4,0.7257,0.54452,1.15228,0.86466,0.86842,0.89904,0.7195,0.81472,0.55702,1.20068,0.0024925,0.0024925,0.0024925
93,14103.7,0.71617,0.5402,1.14941,0.86592,0.8686,0.89901,0.71954,0.81482,0.55665,1.20073,0.00241,0.00241,0.00241
94,14262.7,0.71401,0.53302,1.14721,0.86459,0.86851,0.89801,0.71976,0.81479,0.55638,1.20057,0.0023275,0.0023275,0.0023275
95,14420.7,0.7134,0.53501,1.14538,0.86524,0.86749,0.89827,0.71943,0.81436,0.55659,1.19993,0.002245,0.002245,0.002245
96,14577.6,0.70415,0.53577,1.13865,0.86419,0.86721,0.89805,0.71928,0.81399,0.55654,1.19913,0.0021625,0.0021625,0.0021625
97,14736.6,0.71064,0.5274,1.1382,0.86362,0.8687,0.89811,0.71929,0.81427,0.55615,1.19933,0.00208,0.00208,0.00208
98,14893.5,0.70067,0.52593,1.13563,0.86456,0.86819,0.89813,0.71917,0.81438,0.55585,1.19914,0.0019975,0.0019975,0.0019975
99,15052.8,0.70328,0.51799,1.1392,0.86389,0.86899,0.89852,0.71945,0.81423,0.5558,1.1989,0.001915,0.001915,0.001915
100,15210.8,0.69983,0.52117,1.13726,0.86449,0.86971,0.89856,0.71983,0.81427,0.55559,1.19876,0.0018325,0.0018325,0.0018325
101,15368.8,0.69829,0.51798,1.13387,0.86461,0.86963,0.89898,0.71984,0.81398,0.55519,1.19842,0.00175,0.00175,0.00175
102,15526.5,0.69074,0.5122,1.12992,0.86587,0.86957,0.89898,0.71996,0.8139,0.55508,1.19851,0.0016675,0.0016675,0.0016675
103,15684.5,0.69489,0.51301,1.13185,0.86536,0.86907,0.89927,0.72003,0.81377,0.5545,1.19816,0.001585,0.001585,0.001585
104,15842.8,0.68493,0.50868,1.13082,0.86569,0.86872,0.89945,0.7214,0.8134,0.55407,1.19757,0.0015025,0.0015025,0.0015025
105,16000.4,0.6847,0.50331,1.12716,0.86465,0.8693,0.89967,0.72098,0.81328,0.55385,1.19731,0.00142,0.00142,0.00142
106,16158.5,0.67932,0.50092,1.12377,0.86653,0.8684,0.89954,0.72129,0.81293,0.55342,1.19677,0.0013375,0.0013375,0.0013375
107,16316.5,0.679,0.49737,1.1216,0.86535,0.86964,0.89951,0.72221,0.8125,0.55296,1.19666,0.001255,0.001255,0.001255
108,16475.3,0.67743,0.49588,1.12264,0.86438,0.87059,0.89926,0.72231,0.8125,0.55313,1.19711,0.0011725,0.0011725,0.0011725
