epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,2408.52,1.4905,1.30741,1.66182,0.68901,0.68576,0.70189,0.37628,1.96879,1.63215,2.23266,0.000355089,0.000355089,0.000355089
75,2438.16,1.47052,1.30492,1.65241,0.74824,0.67922,0.71953,0.36929,1.92224,1.49093,2.1341,0.000352337,0.000352337,0.000352337
76,2471.25,1.45543,1.3006,1.64518,0.73581,0.67493,0.70331,0.37237,1.92613,1.54035,2.14884,0.000349585,0.000349585,0.000349585
77,2500.84,1.44718,1.27149,1.63943,0.70548,0.70005,0.73127,0.39585,1.94138,1.50977,2.15682,0.000346833,0.000346833,0.000346833
78,2533.85,1.41993,1.24743,1.61288,0.71523,0.65083,0.68702,0.36257,1.94547,1.50732,2.19485,0.000344081,0.000344081,0.000344081
79,2568.21,1.42263,1.25134,1.6153,0.66677,0.71838,0.71312,0.37242,1.91749,1.53571,2.15918,0.000341328,0.000341328,0.000341328
80,2599.34,1.4244,1.25431,1.62183,0.66698,0.71334,0.70651,0.3892,1.89194,1.52255,2.11841,0.000338576,0.000338576,0.000338576
81,2631.28,1.42213,1.24481,1.62635,0.67385,0.72095,0.70061,0.3849,1.92849,1.49437,2.14395,0.000335824,0.000335824,0.000335824
82,2662.26,1.41287,1.23963,1.61361,0.73507,0.66062,0.71645,0.37438,1.94371,1.52039,2.14191,0.000333072,0.000333072,0.000333072
83,2693.48,1.40679,1.24138,1.60683,0.71402,0.6618,0.71512,0.38505,1.9401,1.53656,2.15639,0.00033032,0.00033032,0.00033032
84,2723.65,1.39317,1.23758,1.59897,0.6746,0.65626,0.69512,0.38214,1.90032,1.51068,2.1244,0.000327567,0.000327567,0.000327567
85,2754.57,1.42749,1.24486,1.61593,0.67725,0.69798,0.69724,0.38128,1.92886,1.49834,2.1974,0.000324815,0.000324815,0.000324815
86,2785.54,1.38568,1.23466,1.60825,0.70483,0.72412,0.71599,0.37583,1.97497,1.53682,2.17045,0.000322063,0.000322063,0.000322063
87,2816.84,1.41941,1.23271,1.60447,0.67191,0.7119,0.70182,0.37293,1.92722,1.47558,2.15488,0.000319311,0.000319311,0.000319311
